Rep,Last Activity Date,DS Last Activity Date,CED,CUSTOMER,Future $,DS Future $,Comments,DS Comments,COMPANY_NAME,CONTACT_NAME,ADDRESS,SUITE_NUMBER,CITY,POSTAL,PHONE,ACCOUNT,WEEKLY, SELECTED SIC ,DISTRICT CODE,FRENCH_PREFERRED_CORRESPONDENCE,POPULATION CODE,SIC DISCRIPTION,,A,2
,,,,,,,,,7-ELEVEN,"SHARMA, PAUL",104 REGENT AVE E,,WINNIPEG,R2C 0C1,2049850188,,,541103,,,,CONVENIENCE STORES,SHARMA,JAGDEV,OWNER
,,,,,,,,,7-ELEVEN,"DALY, SARAH",404 EDISON AVE,,WINNIPEG,R2G 0M1,2049850150,,,541103,,,,CONVENIENCE STORES,DALY,CATHY,OWNER
,,,,,,,,,7-ELEVEN,"NYKOLUK, DEBBIE",1393 HENDERSON HWY,,WINNIPEG,R2G 1N1,2049850146,,,541103,,,,CONVENIENCE STORES,NYKOLUK,BRAD,OWNER
,,,,,,,,,7-ELEVEN,"ZOLONDEK, TONI",1863 HENDERSON HWY,,WINNIPEG,R2G 1P4,2049850147,,,541102,,,,SNACK PRODUCTS,ZOLONDEK,,
,,,,,,,,,7-ELEVEN,"LANGLEY, GARY",1091 HENDERSON HWY,,WINNIPEG,R2G 4H4,2049850193,,,541103,,,,CONVENIENCE STORES,LANGLEY,TERRIANNE,PRESIDENT
,,,,,,,,,7-ELEVEN,"RELAND, JULIE",183 MARION ST,,WINNIPEG,R2H 0T5,2049850115,,,541103,,,,CONVENIENCE STORES,RELAND,LINDA MAY,SITE MANAGER
,,,,,,,,,7-ELEVEN,"MOULDER, TRACY",234 ST MARY'S RD,,WINNIPEG,R2H 1J3,2049850116,,,541103,,,,CONVENIENCE STORES,MOULDER,ARLENE,MANAGER
,,,,,,,,,7-ELEVEN,"MITCHELL, NATALIE",920 ARCHIBALD ST,,WINNIPEG,R2J 0Z1,2049850113,,,541103,,,,CONVENIENCE STORES,MITCHELL,JOSIE,SITE MANAGER
,,,,,,,,,7-ELEVEN,"BEAL, BARB",630 WATT ST,,WINNIPEG,R2K 2S4,2049850144,,,541103,,,,CONVENIENCE STORES,BEAL,SHANE,MANAGER
,,,,,,,,,7-ELEVEN,"GIES, JAKE",554 KEENLEYSIDE ST,,WINNIPEG,R2K 3H2,2049850135,,,541103,,,,CONVENIENCE STORES,GIES,MARK,OWNER
,,,,,,,,,7-ELEVEN,"ZAIDI, SYED",456 TALBOT AVE,,WINNIPEG,R2L 0R5,2049850142,,,541103,,,,CONVENIENCE STORES,ZAIDI,RHODA,
,,,,,,,,,7-ELEVEN,"CAMPBELL, DORIS",1131 NAIRN AVE,,WINNIPEG,R2L 0Y6,2049850137,,,541103,,,,CONVENIENCE STORES,CAMPBELL,LUCIEN,PARTNER
,,,,,,,,,7-ELEVEN,"MCKAY, STAPHEN",355 HENDERSON HWY,,WINNIPEG,R2L 1M9,2049850131,,,541103,,,,CONVENIENCE STORES,MCKAY,WILLARD,OWNER
,,,,,,,,,7-ELEVEN,"PURBA, JOE",438 ST ANNE'S RD,,WINNIPEG,R2M 3C6,2049850178,,,541103,,,,CONVENIENCE STORES,PURBA,AKRAM,MANAGER
,,,,,,,,,7-ELEVEN,"TEEPLE, CAROL",734 ST MARY'S RD,,WINNIPEG,R2M 3N4,2049850194,,,541103,,,,CONVENIENCE STORES,TEEPLE,DOUG,PRESIDENT
,,,,,,,,,7-ELEVEN,"MANTHERA, RANDEEP",1124 ST MARY'S RD,,WINNIPEG,R2M 3T4,2049850184,,,541103,,,,CONVENIENCE STORES,MANTHERA,DIANE,CEO
,,,,,,,,,7-ELEVEN,"SHAW, DALE",1622 ST MARY'S RD,B,WINNIPEG,R2M 3W7,2049850179,,,541103,,,,CONVENIENCE STORES,SHAW,LORNE,PRESIDENT
,,,,,,,,,7-ELEVEN,,628 ST ANNE'S RD,,WINNIPEG,R2M 4W3,2049850218,,,541103,,,,CONVENIENCE STORES,,,
,,,,,,,,,7-ELEVEN,"KNERIYA, RUPIN",1200 JEFFERSON AVE,,WINNIPEG,R2P 0C7,2049850151,,,541103,,,,CONVENIENCE STORES,KNERIYA,GUS,MANAGER
,,,,,,,,,7-ELEVEN,"ARORA, RAJIV",1871 MAIN ST,,WINNIPEG,R2V 2A5,2049850149,,,541103,,,,CONVENIENCE STORES,ARORA,JIM,MANAGER
,,,,,,,,,7-ELEVEN,,915 MAIN ST,,WINNIPEG,R2W 3P2,2043255073,,,541103,,,,CONVENIENCE STORES,,,
,,,,,,,,,7-ELEVEN,"KHAN, ANWAR",1370 MAIN ST,,WINNIPEG,R2W 3T8,2049850156,,,541103,,,,CONVENIENCE STORES,KHAN,AGATHA,OWNER
,,,,,,,,,7-ELEVEN,"KHAN, ANWAR",772 MOUNTAIN AVE,,WINNIPEG,R2X 1C1,2049850158,,,541103,,,,CONVENIENCE STORES,KHAN,ALVIN,OWNER
,,,,,,,,,7-ELEVEN,,665 MCPHILLIPS ST,,WINNIPEG,R2X 2H4,2045867597,,,541103,,,,CONVENIENCE STORES,,,
,,,,,,,,,7-ELEVEN,"PURI, MUNISH",1007 MCPHILLIPS ST,,WINNIPEG,R2X 2K3,2049850195,,,541103,,,,CONVENIENCE STORES,PURI,GUS,EXEC DIRECTOR
,,,,,,,,,7-ELEVEN,"MIRZA, ALI",3021 NESS AVE,,WINNIPEG,R2Y 2J1,2049850162,,,541103,,,,CONVENIENCE STORES,MIRZA,BOB,SITE MANAGER
,,,,,,,,,7-ELEVEN,"SAINI, RAJ",500 WILLIAM AVE,,WINNIPEG,R3A 0J8,2049850112,,,541103,,,,CONVENIENCE STORES,SAINI,MARIANNE,MANAGER
,,,,,,,,,7-ELEVEN,"JACOB, AMANDA",120 KEEWATIN ST,,WINNIPEG,R3E 3C8,2049850207,,,541103,,,,CONVENIENCE STORES,JACOB,EMMIE,OWNER
,,,,,,,,,7-ELEVEN,"SAMRA, SAM",891 ARLINGTON ST,,WINNIPEG,R3E 3L4,2049850104,,,541103,,,,CONVENIENCE STORES,SAMRA,MICHAEL,MANAGER
,,,,,,,,,7-ELEVEN,"DEVINE, MAIRI",627 ELLICE AVE,,WINNIPEG,R3G 0A6,2049850108,,,541103,,,,CONVENIENCE STORES,DEVINE,CHRISTOPHER,SITE MANAGER
,,,,,,,,,7-ELEVEN,"SACHAR, VIPIN",815 ELLICE AVE,,WINNIPEG,R3G 0C3,2049850110,,,541103,,,,CONVENIENCE STORES,SACHAR,SHELLEY,OWNER
,,,,,,,,,7-ELEVEN,,1184 PORTAGE AVE,,WINNIPEG,R3G 0T4,2049850125,,,541103,,,,CONVENIENCE STORES,,,
,,,,,,,,,7-ELEVEN,,1895 WELLINGTON AVE,,WINNIPEG,R3H 0E5,2049850216,,,541103,,,,CONVENIENCE STORES,,,
,,,,,,,,,7-ELEVEN,"SAWCHUK, DAWN",1795 PORTAGE AVE,,WINNIPEG,R3J 0E8,2049850164,,,541102,,,,SNACK PRODUCTS,SAWCHUK,JACOB,MANAGER
,,,,,,,,,7-ELEVEN,"ZAIDI, SYED",1880 NESS AVE,,WINNIPEG,R3J 3M3,2049850160,,,541102,,,,SNACK PRODUCTS,ZAIDI,,
,,,,,,,,,7-ELEVEN,,3380 PORTAGE AVE,7,WINNIPEG,R3K 0Z1,2049850215,,,541103,,,,CONVENIENCE STORES,,,
,,,,,,,,,7-ELEVEN,"FODOR, MICHELLE",568 OSBORNE ST,,WINNIPEG,R3L 2B4,2049850122,,,541103,,,,CONVENIENCE STORES,FODOR,DALTON,PRESIDENT
,,,,,,,,,7-ELEVEN,"CALICIURI, MIKE",781 CORYDON AVE,,WINNIPEG,R3M 0W5,2049850117,,,541103,,,,CONVENIENCE STORES,CALICIURI,PHIL,OWNER
,,,,,,,,,7-ELEVEN,"ALFRED, NICK",909 LORETTE AVE,,WINNIPEG,R3M 1V2,2049850120,,,541103,,,,CONVENIENCE STORES,ALFRED,MIKE,MANAGER
,,,,,,,,,7-ELEVEN,"BURCH, RON",427 ACADEMY RD,,WINNIPEG,R3N 0C2,2049850100,,,541103,,,,CONVENIENCE STORES,BURCH,DOUG,OWNER
,,,,,,,,,7-ELEVEN,"OLAVE, LULU",1445 CORYDON AVE,,WINNIPEG,R3N 0J2,2049850101,,,541103,,,,CONVENIENCE STORES,OLAVE,DENNIS,OWNER
,,,,,,,,,7-ELEVEN,"DHANDLI, HARDEEP",3510 ROBLIN BLVD,,WINNIPEG,R3R 0C9,2049850166,,,541103,,,,CONVENIENCE STORES,DHANDLI,EDWARD,OWNER
,,,,,,,,,7-ELEVEN,"SHARMA, SUNIL",530 DALE BLVD,,WINNIPEG,R3R 1P7,2049850128,,,541103,,,,CONVENIENCE STORES,SHARMA,KARL,PRESIDENT
,,,,,,,,,7-ELEVEN,,1103 PEMBINA HWY,,WINNIPEG,R3T 2A1,2044757711,,,541102,,,,SNACK PRODUCTS,,,
,,,,,,,,,7-ELEVEN,"FEDICK, JOYCE",1490 PEMBINA HWY,,WINNIPEG,R3T 2E3,2049850127,,,541103,,,,CONVENIENCE STORES,FEDICK,TANYA,OWNER
,,,,,,,,,7-ELEVEN,"BRUNO, LORI",7 KILLARNEY AVE,,WINNIPEG,R3T 3B1,2049850152,,,541103,,,,CONVENIENCE STORES,BRUNO,BAXTER,OWNER
,,,,,,,,,7-ELEVEN,"LOFTUS, LYNDA",40 BRANDT ST,,STEINBACH,R5G 0T3,2043261329,,,541103,,,,CONVENIENCE STORES,LOFTUS,DARREN,SITE MANAGER
,,,,,,,,,7-ELEVEN,"LOVE, JOAN",701 10TH ST,,BRANDON,R7A 4G7,2047290221,,,541103,,,,CONVENIENCE STORES,LOVE,MURRAY,MANAGER
,,,,,,,,,7-ELEVEN,"BRANDT, KELLY",3360 VICTORIA AVE,,BRANDON,R7B 0N2,2047290223,,,541103,,,,CONVENIENCE STORES,BRANDT,BRIAN,SITE MANAGER
,,,,,,,,,7-ELEVEN,"SCOTT, KIM",5 WILLOWDALE CRES,,BRANDON,R7B 2X3,2047290220,,,541103,,,,CONVENIENCE STORES,SCOTT,JOHN,PRESIDENT
,,,,,,,,,7TH AVENUE FASHIONS,"DE LUCA, JOE",546 ACADEMY RD,,WINNIPEG,R3N 0E3,2044880660,,,599940,,,,WEDDING SUPPLIES & SERVICES,DE LUCA,JAMES,OWNER
,,,,,,,,,7TH STREET HEALTH ACCESS CTR,"OLSON, CARMEL",20 7TH ST,,BRANDON,R7A 6M8,2045784800,,,832218,,,,SOCIAL SERVICE & WELFARE ORGANIZATIONS,OLSON,MARK,OWNER
,,,(204)831-8180,,,,,,8180 HAUTE COUTURE,,892 ST.JAMES STREET,"WINNIPEG, MB R3G 3L9",,,,,,,,,,,,,
,,,,,,,,,888 CHINESE EXPRESS,,1163 HENDERSON HWY,,WINNIPEG,R2G 1L5,2043388882,,,581208,,,,RESTAURANTS,,,
,,,,,,,,,9 LEAF NAIL SALON,,573 MOUNTAIN AVE,,WINNIPEG,R2W 1K8,2046913332,,,723102,,,,MANICURING,,,
,,,(204)239-2060,,,,,,969161 ALBERTA LTD,,224 SASKATCHEWAN AVE E,"PORTAGE LA PRAIRIE, MB R1N 0K9",,,,,,,,,,,,,
,,,,,,,,,99 CENT PIZZA,,40 STADACONA ST,,WINNIPEG,R2L 2C8,2046151991,,,581208,,,,RESTAURANTS,,,
,,,,,,,,,99 CENT PIZZA,,417 SELKIRK AVE,,WINNIPEG,R2W 2M4,2047741010,,,581206,,,,FOODS-CARRY OUT,,,
,,,,,,,,,99 CENT PIZZA,,505 SELKIRK AVE,,WINNIPEG,R2W 2M6,2046154600,,,581208,,,,RESTAURANTS,,,
,,,,,,,,,99 CENT PIZZA,,164 ISABEL ST,1,WINNIPEG,R3A 1G5,2045047499,,,581206,,,,FOODS-CARRY OUT,,,
,,,,,,,,,99 CENT PIZZA,,503 ELLICE AVE,,WINNIPEG,R3B 1Y8,2046916622,,,581208,,,,RESTAURANTS,,,
,,,,,,,,,99 CENT PIZZA,"AZIZ, AMAR",1438 LOGAN AVE,,WINNIPEG,R3E 1S2,2044154994,,,581206,,,,FOODS-CARRY OUT,AZIZ,TEOFILO,MANAGER
,,,,,,,,,A & A BUILDING CONTRACTING,,1030 PACIFIC AVE,200,WINNIPEG,R3E 1G4,2047744408,,,152103,,,,GENERAL CONTRACTORS,,,
,,,,,,,,,A & A BUILDING CONTRACTING,"CHEATER, BERNARD",235 MCPHILLIPS ST,,WINNIPEG,R3E 2K3,2047744408,,,152103,,,,GENERAL CONTRACTORS,CHEATER,DARREN,OWNER
,,,,,,,,,A & A CUSTOM UPHOLSTERING,"DYCK, ALVIN",1221 SHAMROCK BAY,,WINKLER,R6W 1N9,2043254297,,,764109,,,,UPHOLSTERERS,DYCK,JAY,OWNER
,,,,,,,,,A & A ENGRAVING,"BENZELOCK, DON",196 HENDERSON HWY,,WINNIPEG,R2L 1L8,2046613484,,,509423,,,,JEWELRY BROKERS (WHLS),BENZELOCK,SHARON,SITE MANAGER
,,,,,,,,,A & A NATURAL FOOD SUPPLEMENTS,"POIRON, YVETTE",187 WORTHINGTON AVE,,WINNIPEG,R2M 1R9,2042577534,,,549901,,,,HEALTH & DIET FOODS-RETAIL,POIRON,JEFF,OWNER
,,,,,,,,,A & B DALRYMPLE'S COUNTRY FARM,,NW 6-15-17W,,MINNEDOSA,R0J 1E0,2048675107,,,18101,,,,GREENHOUSES,,,
,,,,no,,,,,A & B MECHANICAL LTD,BRUCE MC WHIRTER,1400 SPRUCE ST,,WINNIPEG,R3E 2V7,2047833622,,,505113,11,,9,,,I,2
,,,,,,,,,A & B MOVING CO,,1313 BORDER ST,95,WINNIPEG,R3H 0X4,2046334483,,,421216,,,,MOVERS-HEAVY HAULING,,,
,,,,,,,,,A & C LTD,"CHINCHA, JOHN",595 SARGENT AVE,,WINNIPEG,R3E 0A2,2047740295,,,593229,,,,PAWNBROKERS,CHINCHA,ELAINE,DIRECTOR
,,,,,,,,,A & D AUTO & FARM SUPPLY,"ROSS, DANIEL",876B THORNHILL ST,,MORDEN,R6M 2E1,2048225729,,,553111,,,,AUTOMOBILE PARTS & SUPPLIES-RETAIL-NEW,ROSS,KYLE,OWNER
,,,,,,,,,A & E BUILDING MAINTENANCE LTD,,574 WATT ST,,WINNIPEG,R2K 4K1,2043395099,,,152105,,,,HOME IMPROVEMENTS,,,
,,,,,,,,,A & F NEMEC RECRUITMENT,,220 PORTAGE AVE,1600,WINNIPEG,R3C 0A5,2042758201,,,736103,,,,EMPLOYMENT AGENCIES & OPPORTUNITIES,,,
,,,,,,,,,A & G DISTRIBUTORS,"BURELLE, ERNEST",63054 PROVINCIAL ROAD 23 E,,SPRINGFIELD,R2C 2Z2,2042225643,,,243104,,,,DOORS-MANUFACTURERS,BURELLE,AMY,OWNER
,,,,,,,,,A & H DESIGN,"ASH, DENNIS",2 AMELIA CRES,,WINNIPEG,R2K 3Z3,2046679108,,,733401,,,,BLUEPRINTING,ASH,NEIL,OWNER
,,,2009,no,,,,,A & H PETROLEUM SVC LTD,"BESEL, STUART",1160 SANFORD ST,,WINNIPEG,R3E 2Z9,2047881692,453,,162932,,,,ABRASIVE CUTTING,BESEL,RICK,SITE MANAGER
,,,,yes,,,,,A & I PRODUCTS,GERRY KRAHN,432 RAILWAY ST S,,ALTONA,R0G 0B0,2043248621,4604,,581216,3,,1,BANQUETS-ARRANGED,,A,OWNER
,,,,,,,,,A & J PUMP SVC,"MC MILLAN, MURRAY",10 CEDAR BAY,,BRANDON,R7B 0Z4,2047282514,,,508444,,,,PUMPS (WHLS),MC MILLAN,MOHAMED,OWNER
,,,,,,,,,A & L GET ACTIVE,"WIRCH, CAM",201 ROSSER AVE,,BRANDON,R7A 0J8,2047275817,,,594113,,,,SPORTING GOODS-RETAIL,WIRCH,WAYNE,
,,,,,,,,,A & M POTATO GROWERS LTD,"ADRIAANSEN, JOHN",SW 19-11-16W,,DOUGLAS,R0K 0R0,2047634978,,,19101,,,,FARMS,ADRIAANSEN,PETER,MANAGER
,,,,,,,,,A & M SEAMLESS EAVESTROUGHING,"WIEBE, ABE",PO BOX 551 STN MAIN,,WINKLER,R6W 4A7,2043622891,,,176103,,,,GUTTERS & DOWNSPOUTS,WIEBE,RANDY,OWNER
,,,,,,,,,A & M WATER DEPOT LTD,"SORIANO, ARMAN",1111 MUNROE AVE,105,WINNIPEG,R2K 3Z5,2046638880,,,549903,,,,"WATER COMPANIES-BOTTLED, BULK, ETC",SORIANO,RON,OWNER
,,,,,,,,,A & N ELECTRICAL,,1090 MCDERMOT AVE,4,WINNIPEG,R3E 3S6,2047722636,,,173101,,,,ELECTRIC CONTRACTORS,,,
,,,,no,,,,,A & O SUPPORT FOR OLDER ADULTS,HILDE BRAND,280 SMITH ST,200,WINNIPEG,R3C 1K2,2049566440,,,594113,11,,9,SPORTING GOODS-RETAIL,,A,2
,,,,,,,,,A & R CARPET BARN,"DOHERTY, HUGH",655 PEMBINA HWY,,WINNIPEG,R3M 2L5,2042845166,,,242604,,,,HARDWOOD FLOORING (MFRS),DOHERTY,LUC,OWNER
,,,,yes,,,,,A & R CONCRETE PUMPING LTD,"ALFONSO, DEAN",259 GUNN RD,,WINNIPEG,R2C 2Z2,2042223720,6159,,177107,,,,CONCRETE PUMPING SERVICE,ALFONSO,DUKE,OWNER
,,,,no,,,,,A & R MILL DISTRIBUTORS,BOB PASTRICK,50 ARCHIBALD ST,,WINNIPEG,R2J 0V8,2042333061,,,131103,11,,9,OIL & GAS PRODUCERS,,A,2
,,,,no,,,,,A & S HOMES,TONY SPAZANNO,990 LORIMER BLVD,101,WINNIPEG,R3P 0Z9,2042560863,,,799701,11,,9,RECREATION CENTERS,,A,2
,,,,,,,,,A & T AUTO SALES LTD,"THISSEN, A C",607 STEPHEN ST,1,MORDEN,R6M 1R7,2048221354,,,551103,,,,AUTOMOBILE DEALERS-USED CARS,THISSEN,HEATHER,OWNER
,,,,,,,,,A & T AUTO SALES LTD,,350 4TH ST,704,WINKLER,R6W 1J8,2043258889,,,551103,,,,AUTOMOBILE DEALERS-USED CARS,,,
,,,,,,,,,A & T CONCRETE/INTERLOCK,"PEIXEIRA, DAVID",1285 FRASER RD,,WINNIPEG,R2N 4J9,2049979387,,,177105,,,,CONCRETE CONTRACTORS,PEIXEIRA,DENNIS,SITE MANAGER
,,,,,,,,,A 2 B MOVING CO,,100 COLE AVE,,WINNIPEG,R2L 0K7,2046334483,,,421216,,,,MOVERS-HEAVY HAULING,,,
,,,,,,,,,A A A AQUA SYSTEMS,,435 KENSINGTON ST,,WINNIPEG,R3J 1J8,2047836226,,,738984,,,,WATER TREATMENT EQUIP SVC & SUPLS,,,
,,,,,,,,,A A A CONSIGNMENT,"MONROE, DON",197 OSBORNE ST,,WINNIPEG,R3L 1Z4,2048889191,,,593202,,,,ANTIQUES-DEALERS,MONROE,DON,MANAGER
,,,,,,,,,A A A NO 1 MOVING & STORAGE,,1700 BURROWS AVE,62,WINNIPEG,R2X 2W1,2044140059,,,422503,,,,STORAGE-HOUSEHOLD & COMMERCIAL,,,
,,,,,,,,,A A A PLUS EXTERMINATIONS,,1500 REGENT AVE W,13,WINNIPEG,R2C 3A8,2049257937,,,734201,,,,PEST CONTROL,,,
,,,,,,,,,A A ASSURED MOVERS MINI STRG,"GOULET, ED",345 HIGGINS AVE,,WINNIPEG,R3A 0V4,2049422151,,,421401,,,,MOVERS,GOULET,LEN,SITE MANAGER
,,,,,,,,,A A AUTOGLASS MOBILE SVC,"DUCHARME, RICK",50 WILSON ST,,PORTAGE-LA-PR,R1N 3T4,2042391057,,,523110,,,,GLASS-AUTO PLATE & WINDOW & ETC,DUCHARME,KELLY,MANAGER
,,,,,,,,,A A BOULET SEWER & DRAIN LTD,"BOULET, NORBERT",23 WOODGREEN PL,,WINNIPEG,R3J 1H4,2048321767,,,171105,,,,PLUMBING CONTRACTORS,BOULET,MARK,SITE MANAGER
,,,,,,,,,A A ECONOMY SEWER & DRAIN,"FUNT, RICK",1450 BANNATYNE AVE W,,WINNIPEG,R3E 0X2,2048884849,,,162307,,,,SEWER CONTRACTORS,FUNT,DENYS,OWNER
,,,,,,,,,A A EMPIRE LIMOUSINE SVC,"SANDHU, JAI",19 BESSBORO ST N,,WINNIPEG,R3Y 1Y7,2042970423,,,411903,,,,LIMOUSINE SERVICE,SANDHU,BRIAN,PRINCIPAL
,,,,,,,,,A A R FINANCIAL INC,,1590 ST MARY'S RD,,WINNIPEG,R2M 3W4,2046672200,,,628205,,,,FINANCIAL PLANNING CONSULTANTS,,,
,,,,,,,,,A AAAAALLIED AUTO & TRUCK,"GILMAN, ALEC",222 PARK PL W,,WINNIPEG,R3P 2J4,2046330712,,,753201,,,,AUTOMOBILE BODY-REPAIRING & PAINTING,GILMAN,CLAYTON,OWNER
,,,,,,,,,A AABLE AUTO PARTS TEAM,"ENNS, VIC",2025 PLESSIS RD,,WINNIPEG,R3W 1S4,2042227333,,,501501,,,,AUTOMOBILE PARTS-USED & REBUILT (WHLS),ENNS,JANET,MANAGER
,,,,,,,,,A AAPPLIANCE DISTR MAYTAG,"LOFCHICK, BERNARD",469 ST MARY'S RD,,WINNIPEG,R2M 3K9,2049892755,,,508726,,,,LAUNDRY EQUIPMENT (WHLS),LOFCHICK,DARREN,OWNER
,,,,,,,,,A ACTIVE ACCOUNTING SVC,"BERENHAUT, TONI",22 ASTER AVE,,WINNIPEG,R2V 2K6,2043384767,,,729101,,,,TAX RETURN PREPARATION & FILING,BERENHAUT,BARBARA,RELIGIOUS DIR
,,,,,,,,,A ADAMS SUPPLY LTD,"ENNS, JACK",879 WALL ST,,WINNIPEG,R3G 2T9,2047867481,,,507201,,,,BOLTS & NUTS (WHLS),ENNS,GRANT,OWNER
,,,,,,,,,A B C CHARLESWOOD HM & BUS SVC,,2621 PORTAGE AVE,201,WINNIPEG,R3J 0P7,2046153505,,,874201,,,,BUSINESS MANAGEMENT CONSULTANTS,,,
,,,,,,,,,A B C SALES & SERVICE,,201 REGENT WEST,"WINNIPEG, MB R2C 1R3",,,(204)224-1760,,,,,,,,,,
,,,,,,,,,A B CLEANING,,1514 1ST ST N,,BRANDON,R7C 1A4,2047268956,,,754203,,,,AUTOMOBILE DETAIL & CLEAN-UP SERVICE,,,
,,,,,,,,,A B COINS & COLLECTIBLES,,1727 MAIN ST,,WINNIPEG,R2V 1Z4,2043394988,,,509404,,,,GOLD SILVER & PLATINUM-BUYERS (WHLS),,,
,,,,,,,,,A B WELDING LTD,"ZAHRA, ADEL",1137 SANFORD ST,,WINNIPEG,R3E 3A1,2048960395,,,769203,,,,WELDING,ZAHRA,SANDY,
,,,,,,,,,A BALANCED LIFESTYLE,"MC ALPINE, JEANIE",443 THOMPSON DR,,WINNIPEG,R3J 3E7,2048321119,,,549901,,,,HEALTH & DIET FOODS-RETAIL,MC ALPINE,CHARLENE,CEO
,,,,,,,,,A BOLACK CERTIFIED GEN ACCT,"BOLACK, AMY",40 CROMWELL ST,,WINNIPEG,R2H 1P3,2042333270,,,,,,,ACCOUNTANTS,BOLACK,GARTH,MANAGER
,,,,,,,,,A BRICK SHIRT HOUSE,"MARION, RICHARD",1855 NESS AVE,,WINNIPEG,R3J 0Y5,2048967858,,,275902,,,,SCREEN PRINTING (MFRS),MARION,KEN,OWNER
,,,,,,,,,A BUESS CONTRACTORS,"BUESS, LEO",761 MANITOBA AVE,,WINNIPEG,R2W 2H6,2049813241,,,179405,,,,FOUNDATION-CONTRACTORS,BUESS,JOE,OWNER
,,,,,,,,,A C ELECTRICAL SYSTEMS,"SANDULIAK, PAUL",225 MELROSE AVE W,,WINNIPEG,R2C 1N7,2049817090,,,173101,,,,ELECTRIC CONTRACTORS,SANDULIAK,LAURIE,MANAGER
,,,,,,,,,A C ENVIRONMENTS LTD,,1201 GRASSMERE RD,15,WEST ST PAUL,R4A 1C4,2043360203,,,171117,,,,AIR CONDITIONING CONTRACTORS & SYSTEMS,,,
,,,,,,,,,A C LANE CONSULTING INC,"LANE, ANDREW",59 NEEPAWA DR,,BRANDON,R7B 3B1,2047272516,,,874214,,,,MARKETING CONSULTANTS,LANE,JACK,SITE MANAGER
,,,,,,,,,A C R GLASS,"FORSTER, DEAN",3331 PORTAGE AVE,,WINNIPEG,R3K 0W8,2042545277,,,523110,,,,GLASS-AUTO PLATE & WINDOW & ETC,FORSTER,BRUCE,OWNER
,,,,,,,,,A CARLONI LTD,"CARLONI, BRUNO",103 PEAR TREE BAY,,WINNIPEG,R2N 1S7,2042565412,,,152105,,,,HOME IMPROVEMENTS,CARLONI,JIM,OWNER
,,,,,,,,,A CRANE TOWING,"TENNENT, JOHN",251 NOTRE DAME AVE,,WINNIPEG,R3B 1N8,2044526666,,,754901,,,,WRECKER SERVICE,TENNENT,ANDREW S,RELIGIOUS DIR
,,,,,,,,,A CRANE TOWING,"TENNANT, JOHN",106B DE VOS RD,,WINNIPEG,R3T 5Y1,2044893727,,,754901,,,,WRECKER SERVICE,TENNANT,VICKY,MANAGER
,,,(204)984-9013,,,,,,A D P CANADA,,1353 KENASTON BLVD,"WINNIPEG, MB R3P 2P2",,,,,,,,,,,,,
,,,,,,,,,A D RUTHERFORD INTL,"BILLANEY, MARJORIE",SW 2-1-20W,,BOISSEVAIN,R0K 0E0,2045346169,,,473113,,,,CUSTOMS BROKERS,BILLANEY,GERALD,MANAGER
